Domain,Term,Definition,Synonyms
Reference,Organization,"An institutional entity (not an individual) that participates in research funding: a sponsor, an academic unit, a subrecipient, a vendor.","Institution, Entity, Org"
Reference,Sponsor,"The funding agency on a proposal or award. The legal counterparty on the agreement. Examples: NIH, NSF, DOE, foundations, industry partners.","Funder, Funding agency, Awarding agency"
Reference,Prime Sponsor,"The original source of funds when money flows through an intermediary. Example: NIH money passed through Big University to your institution, where Big University is the direct sponsor and NIH is the prime.","Originating sponsor, Pass-through source, Federal source (when federal)"
Reference,Sponsor Type,"The category of a funding agency: Federal, State, Local, Foundation, Industry, Higher Education pass-through, Foreign, Tribal, Internal. Drives indirect rates, reporting cadence, audit thresholds, and IP/publication terms.","Sponsor category, Funder type, Funding source category"
Reference,Sponsor Hierarchy,A parent/child grouping of related funding agencies (e.g. NIH institutes under one parent body).,"Sponsor parent, Agency hierarchy"
Reference,Administering Unit,The institutional unit responsible for administering finances on an award or proposal. Typically a department or college.,"Admin unit, Administering department, Owning unit"
Reference,Submitting Unit,The institutional unit preparing and submitting a proposal. Often (but not always) the home unit of the PI.,"Lead unit, Owning unit, Sponsoring unit"
Reference,Academic Sub-Unit,An institutional sub-division within the organizational hierarchy. A smaller unit belongs to a larger one (a department sits under a college; a college sits under a school or university).,"Department, College, Institute, Center, Academic unit, Org unit"
Reference,FAIN (Federal Award Identification Number),"The persistent federal identifier for a funded agreement across its entire lifetime, including modifications, continuations, and supplements. Required for federal reporting.","Federal award number, Federal grant number"
Reference,Assistance Listing Number,The line item in federal appropriations identifying a specific funding program (formerly called CFDA). Required for federal financial assistance reporting and DATA Act compliance.,"CFDA, CFDA number, AL number"
Reference,Budget Category,"A standardized line item in a research budget: Senior Personnel, Other Personnel, Equipment, Travel, Participant Support, Other Direct Costs. Follows SF-424 R&R federal categories.","Budget line item, Budget object code, Object class"
Core,Personnel,"Individuals involved in research: faculty, staff, students, postdocs, residents, fellows, and external collaborators.","People, Researchers, Investigators, Staff, Workforce"
Core,Contact Details,"Identifying information for a person or organization: email, phone, fax, mobile, postal address. A person or organization can have multiple records.","Contact info, Address, Phone & email"
Core,Project,"A research, training, or externally-funded effort that may span multiple funding sources, proposals, and agreements. The long-lived effort identity. NOTE: many research administrators use this word interchangeably with an Award (a single funded instance) or with a finance subaccount; see Award and the Subaccount entry under Financial for the other meanings.","Research effort, Sponsored effort, Program (when small)"
Core,Principal Investigator (PI),The lead researcher on a proposal or funded agreement. Holds primary scientific and administrative responsibility.,"Lead PI, Project Director, PD (NSF), Lead researcher"
Core,Co-Investigator (Co-I),A non-lead researcher on a project. Shares scientific responsibility but not primary administrative responsibility.,"Co-PI, Co-Principal Investigator, Co-investigator"
Core,Key Personnel (KP),Named individuals central to a project beyond the PI and Co-Is. A change in their effort typically requires sponsor notification.,"Key person, Named personnel, Senior personnel"
Core,Activity Type,"High-level classification of the work: Research, Instruction, Public Service, Other. Drives federal reporting (e.g. NSF HERD survey).","Type of activity, Classification, Sponsored activity type"
Core,Science Keywords / Subject Tags,"Scientific subject classification for internal reporting and federal surveys (NSF science codes, HHS terms).","Keywords, Subject codes, Science codes, Topic tags"
Pre-Award,Request for Applications (RFA),"A funding opportunity announcement from a sponsor: program announcement, solicitation, BAA, RFP. Captures sponsor, deadlines, funding range, expected number of awards, and lifecycle state.","Funding opportunity, FOA, NOFO, Solicitation, Program announcement, RFP, BAA"
Pre-Award,Solicitation Requirement,"A specific item extracted from a funding opportunity: eligibility, budget, format, compliance, reporting. Used as a template per opportunity; per-application completion is tracked separately.","RFA requirement, FOA requirement, Submission requirement"
Pre-Award,Proposal,A formal request for funding submitted to a sponsor. Tracks the lifecycle from drafting through submission to decision.,"Application, Grant application, Submission"
Pre-Award,Proposal Lineage,"The chain of related submissions: a resubmission referring to an earlier application, a renewal referring to a current award.","Resubmission chain, Renewal chain, Continued from"
Pre-Award,Proposal Type,"Why an application is being submitted now: New, Resubmission, Renewal, Continuation, Revision, Task Order.","Submission type, Application type"
Pre-Award,Internal Approval Status,"The application's internal review state before sponsor submission: Draft, In Review, Approved, Rejected, Withdrawn.","Institutional approval status, Pre-submission status, Internal status"
Pre-Award,Decision Status,"The application's external state after submission: Pending, Submitted, Under Review, Awarded, Declined, Withdrawn.","Sponsor decision, Outcome, Award decision"
Pre-Award,Proposal Budget,"Detailed line items for a submitted application's budget, organized by period and category. Supports versioning for revisions during negotiation.","Application budget, Submitted budget"
Pre-Award,Proposal Checklist,"A per-application task list tracking preparation progress against solicitation requirements and internal review tasks. Captures who's responsible, status, and supporting documents.","Application task list, Submission checklist"
